millis,section,key,value,detail
688,reset,reason,1,poweron
689,nav_size,sizeof_waypoint,32,bytes
689,nav_size,sizeof_route_point,6,bytes
691,nav_size,sizeof_route,30,bytes
691,nav_size,sizeof_navigator,4864,bytes
691,nav_size,waypoint_capacity,121,entries
691,nav_size,route_point_capacity,41,entries
691,nav_size,route_capacity,11,entries
691,nav_size,waypoints_array_bytes,3872,bytes
691,nav_size,route_points_array_bytes,246,bytes
691,nav_size,routes_array_bytes,330,bytes
698,reset,reason,1,poweron
698,nav_size,sizeof_waypoint,32,bytes
698,nav_size,sizeof_route_point,6,bytes
698,nav_size,sizeof_route,30,bytes
698,nav_size,sizeof_navigator,4864,bytes
699,nav_size,waypoint_capacity,121,entries
699,nav_size,route_point_capacity,41,entries
699,nav_size,route_capacity,11,entries
699,nav_size,waypoints_array_bytes,3872,bytes
699,nav_size,route_points_array_bytes,246,bytes
699,nav_size,routes_array_bytes,330,bytes
654,reset,reason,1,poweron
654,nav_size,sizeof_waypoint,32,bytes
654,nav_size,sizeof_route_point,6,bytes
654,nav_size,sizeof_route,30,bytes
654,nav_size,sizeof_navigator,4864,bytes
655,nav_size,waypoint_capacity,121,entries
655,nav_size,route_point_capacity,41,entries
655,nav_size,route_capacity,11,entries
655,nav_size,waypoints_array_bytes,3872,bytes
655,nav_size,route_points_array_bytes,246,bytes
655,nav_size,routes_array_bytes,330,bytes
393,reset,reason,1,poweron
393,nav_size,sizeof_waypoint,32,bytes
393,nav_size,sizeof_route_point,6,bytes
393,nav_size,sizeof_route,30,bytes
393,nav_size,sizeof_navigator,4864,bytes
393,nav_size,waypoint_capacity,121,entries
394,nav_size,route_point_capacity,41,entries
394,nav_size,route_capacity,11,entries
394,nav_size,waypoints_array_bytes,3872,bytes
394,nav_size,route_points_array_bytes,246,bytes
394,nav_size,routes_array_bytes,330,bytes
