millis,event,cycle,attempt_index,saved_count,elapsed_ms,target_ssid,current_ssid,wifi_status,wifi_mode,rssi,local_ip,diagnostics_allowed,free_heap,max_alloc_heap,current_task
75751,"disconnect",1,0,0,0,"","SkyWagon",3,1,-55,"10.0.0.211",0,40712,31732,"loopTask"
14751,"attempt-start",1,0,0,0,"","",254,0,0,"0.0.0.0",0,98084,36852,"loopTask"
14782,"attempt-network",1,0,1,7,"SkyWagon","",6,1,0,"0.0.0.0",0,48248,31732,"loopTask"
23729,"attempt-timeout",1,0,1,8954,"SkyWagon","",1,1,0,"0.0.0.0",0,48208,31732,"loopTask"
23743,"attempt-exhausted",1,0,1,8968,"SkyWagon","",1,1,0,"0.0.0.0",0,48208,31732,"loopTask"
24781,"disconnect",1,0,0,0,"","",1,1,0,"0.0.0.0",0,48208,31732,"loopTask"
50041,"attempt-start",2,0,0,0,"","",1,1,0,"0.0.0.0",0,48208,31732,"loopTask"
50067,"attempt-network",2,0,1,6,"SkyWagon","",1,1,0,"0.0.0.0",0,48000,31732,"loopTask"
124879,"attempt-timeout",2,0,1,74818,"SkyWagon","",1,1,0,"0.0.0.0",0,47964,31732,"loopTask"
124891,"attempt-exhausted",2,0,1,74830,"SkyWagon","",1,1,0,"0.0.0.0",0,47964,31732,"loopTask"
125802,"disconnect",2,0,0,0,"","",1,1,0,"0.0.0.0",0,47964,31732,"loopTask"
1074421,"attempt-start",3,0,0,0,"","",1,1,0,"0.0.0.0",0,46620,31732,"loopTask"
1074447,"attempt-network",3,0,1,6,"SkyWagon","",1,1,0,"0.0.0.0",0,46620,31732,"loopTask"
1079712,"attempt-timeout",3,0,1,5271,"SkyWagon","",1,1,0,"0.0.0.0",0,46620,31732,"loopTask"
1079724,"attempt-exhausted",3,0,1,5283,"SkyWagon","",1,1,0,"0.0.0.0",0,46620,31732,"loopTask"
1086671,"disconnect",3,0,0,0,"","",1,1,0,"0.0.0.0",0,46532,31732,"loopTask"
18971,"attempt-start",1,0,0,0,"","",254,0,0,"0.0.0.0",0,98084,36852,"loopTask"
19002,"attempt-network",1,0,1,7,"SkyWagon","",6,1,0,"0.0.0.0",0,48248,31732,"loopTask"
20222,"disconnect",1,0,1,1227,"","",6,1,0,"0.0.0.0",0,48248,31732,"loopTask"
21911,"attempt-start",2,0,0,0,"","",6,1,0,"0.0.0.0",0,48248,31732,"loopTask"
21937,"attempt-network",2,0,1,6,"SkyWagon","",6,1,0,"0.0.0.0",0,48032,31732,"loopTask"
27302,"attempt-timeout",2,0,1,5371,"SkyWagon","",1,1,0,"0.0.0.0",0,48000,31732,"loopTask"
27316,"attempt-exhausted",2,0,1,5385,"SkyWagon","",1,1,0,"0.0.0.0",0,48000,31732,"loopTask"
37412,"disconnect",2,0,0,0,"","",1,1,0,"0.0.0.0",0,48000,31732,"loopTask"
39602,"attempt-start",3,0,0,0,"","",1,1,0,"0.0.0.0",0,48000,31732,"loopTask"
39627,"attempt-network",3,0,1,6,"SkyWagon","",1,1,0,"0.0.0.0",0,48000,31732,"loopTask"
60653,"attempt-timeout",3,0,1,21032,"SkyWagon","",1,1,0,"0.0.0.0",0,47356,31732,"loopTask"
60665,"attempt-exhausted",3,0,1,21044,"SkyWagon","",1,1,0,"0.0.0.0",0,47356,31732,"loopTask"
61191,"disconnect",3,0,0,0,"","",1,1,0,"0.0.0.0",0,47356,31732,"loopTask"
